ID	Level	Area	Name	Log Message Example	Description	Format	Message Variables
2030023	WARN	VPN / IPSEC	Did not receive KEEP_ALIVE_ACK response	Remote gateway 'gateway.1' with IP 172.16.13.204:500 did not send KEEP_ALIVE_ACK message. 2 retries left.	"Firebox or XTM device sent a KEEP_ALIVE request to remote gateway, but did not receive KEEP_ALIVE_ACK response. The log message specifies the number of retries before it will delete the VPN tunnel."	Remote gateway '%s' with IP %s did not send KEEP_ALIVE_ACK message. %d retries left.	Remote gateway '${gw-ep}' with IP ${peer_addr} did not send KEEP_ALIVE_ACK message. ${n} retries left.
2030024	WARN	VPN / IPSEC	Deleted VPN tunnels due to keep-alive failure	Remote gateway 'gateway.1' with IP 172.16.13.204:500 presumed dead due to keep-alive negotiation failure. Deleted all tunnels that use this gateway. Check the connection between local and remote gateway endpoints.	Firebox or XTM device deleted one or more VPN tunnels because the remote gateway did not respond to keep-alive requests.	Remote gateway '%s' with IP %s presumed dead due to keep-alive negotiation failure.%s	Remote gateway '${gw-ep}' with IP ${peer_addr} presumed dead due to keep-alive negotiation failure.${action}
2030025	INFO	VPN / IPSEC	Received IKE message for unknown Phase 1 SA	Received IKE message from 172.16.13.204:500 for unknown P1 SA. Sending delete message to remote gateway 'gateway.1'.	Received IKE message for unknown P1 SA. Sending delete message to remote gateway	Received IKE message from %s for unknown P1 SA. Sending delete message to remote gateway '%s'.	Received IKE message from ${peer_addr} for unknown P1 SA. Sending delete message to remote gateway '${gateway}'.
2030026	ERROR	VPN / IPSEC	DSS certificate ID mismatch	IKE phase-1 negotiation from 172.16.12.82:500 to 172.16.12.81:500 failed. Gateway-Endpoint='gateway.1' Reason=Authentication failure due to mismatched DSS certificate ID setting	IKE Phase 1 negotiation failed because of mismatched DSS certificate ID setting.	IKE phase-1 negotiation from %s to %s failed. Gateway-Endpoint='%s' Reason=Authentication failure due to mismatched DSS certificate ID setting	IKE phase-1 negotiation from ${local_addr} to ${peer_addr} failed. Gateway-Endpoint='${gw-ep}' Reason=Authentication failure due to mismatched DSS certificate ID setting
2030027	ERROR	VPN / IPSEC	Failed to get ID information from certificate	IKE phase-1 negotiation from 172.16.12.82:500 to 172.16.12.81:500 failed. Gateway-Endpoint='gateway.1' Reason=Failed to get ID information from certificate 20001	IKE phase-1 negotiation failed because failed to get ID information from certificate.	IKE phase-1 negotiation from %s to %s failed. Gateway-Endpoint='%s' Reason=Failed to get ID information from certificate %d	IKE phase-1 negotiation from ${local_addr} to ${peer_addr} failed. Gateway-Endpoint='${gw-ep}' Reason=Failed to get ID information from certificate ${certificate_id}
2030028	INFO	VPN / IPSEC	IKE Phase 1 message received on wrong interface	IKE phase-1 negotiation from 198.51.100.2:500 to 203.0.113.2:500 failed. Reason=Received IKE message on wrong interface 'eth0'(index:3). Expecting it to be received on 'eth6'.	IKE Phase 1 negotiation failed because of IKE message peer was received on wrong interface.	IKE phase-1 negotiation from %s to %s failed. Reason=Received IKE message on wrong interface '%s'(index:%d). Expecting it to be received on '%s'.	IKE phase-1 negotiation from ${local_addr} to ${peer_addr} failed. Reason=Received IKE message on wrong interface '${received_if}'(index:${received_ifindex}). Expecting it to be received on '${expected_if}'
2030029	ERROR	VPN / IPSEC	IKE Phase 1 invalid aggressive mode ID	IKE phase-1 negotiation from 198.51.100.2:500 to 203.0.113.2:500 failed. Gateway-Endpoint='gateway.1' Reason=Received ID did not match with configured aggressive mode ID.	IKE Phase 1 negotiation failed because received ID did not match with configured ID on local gateway. Check aggressive mode ID information in gateway endpoint configuration on both local and remote gateways.	IKE phase-1 negotiation from %s to %s failed. Gateway-Endpoint='%s' Reason=Received ID did not match with configured aggressive mode ID.	IKE phase-1 negotiation from ${local_addr} to ${peer_addr} failed. Gateway-Endpoint='${gw-ep}' Reason=Received ID did not match with configured aggressive mode ID.
2050002	ERROR	VPN / IPSEC	IKE Phase 2 PFS mismatch	"IKE phase-2 negotiation from 172.16.12.82:500 to 172.16.12.81:500 failed. Tunnel='tunnel.1' Reason=Received proposal without PFS, Expecting PFS enabled"	The IPSec tunnel negotiation failed because the Perfect Forward Secrecy (PFS) value did not match the Phase 2 configuration.	"IKE phase-2 negotiation from %s to %s failed. Tunnel='%s' Reason=Received proposal without PFS, Expecting PFS enabled"	"IKE phase-2 negotiation from ${local_addr} to ${peer_addr} failed. Tunnel='${tunnel}' Reason=Received proposal without PFS, Expecting PFS enabled"
2050003	ERROR	VPN / IPSEC	IKE Phase-2 proposal type mismatch	IKE phase-2 negotiation from 172.16.12.82:500 to 172.16.12.81:500 failed. Tunnel='tunnel.1' Reason=Received protocol 'AH'. Expecting 'ESP' in phase-2 proposal.	The IPSec tunnel negotiation failed because the proposal did not match the Phase 2 configuration. The log message specifies the received and expected proposals.	IKE phase-2 negotiation from %s to %s failed. Tunnel='%s' Reason=Received protocol '%s'. Expecting '%s' in phase-2 proposal.	IKE phase-2 negotiation from ${local_addr} to ${peer_addr} failed. Tunnel='${tunnel}' Reason=Received protocol '${received_proto}'. Expecting '${expected_proto}' in phase-2 proposal.
2050003	ERROR	VPN / IPSEC	IKE Phase-2 proposal type mismatch	IKE phase-2 negotiation from 172.16.12.82:500 to 172.16.12.81:500 failed. Tunnel='tunnel.1' Reason=Received protocol 'AH'. Expecting 'ESP' in phase-2 proposal.	The IPSec tunnel negotiation failed because the proposal did not match the Phase 2 configuration. The log message specifies the received and expected proposals.	IKE phase-2 negotiation from %s to %s failed. Tunnel='%s' Reason=Received protocol '%s'. Expecting '%s' in phase-2 proposal.	IKE phase-2 negotiation from ${local_addr} to ${peer_addr} failed. Tunnel='${tunnel}' Reason=Received protocol '${received_proto}'. Expecting '${expected_proto}' in phase-2 proposal.
2050004	ERROR	VPN / IPSEC	IKE Phase 2 AH authentication method mismatch	"IKE phase-2 negotiation from 172.16.12.82:500 to 172.16.12.81:500 failed. Tunnel='tunnel.1' Reason=Received AH authentication MD5, expecting SHA1"	The IPSec tunnel negotiation failed because the proposed AH authentication method did not match the Phase 2 configuration. The log message specifies the received and expected AH authentication method.	"IKE phase-2 negotiation from %s to %s failed. Tunnel='%s' Reason=Received AH authentication %s, expecting %s"	"IKE phase-2 negotiation from ${local_addr} to ${peer_addr} failed. Tunnel='${tunnel}' Reason=Received AH authentication ${received}, expecting ${expected}"
2050005	ERROR	VPN / IPSEC	IKE Phase 2 ESP encryption method mismatch	"IKE phase-2 negotiation from 172.16.12.82:500 to 172.16.12.81:500 failed. Tunnel='tunnel.1' Reason=Received ESP encryption DES, expecting AES"	The IPSec tunnel negotiation failed because the proposed ESP encryption method did not match the Phase 2 configuration. The log message specifies the received and expected ESP encryption method.	"IKE phase-2 negotiation from %s to %s failed. Tunnel='%s' Reason=Received ESP encryption %s, expecting %s"	"IKE phase-2 negotiation from ${local_addr} to ${peer_addr} failed. Tunnel='${tunnel}' Reason=Received ESP encryption ${received}, expecting ${expected}"
2050006	ERROR	VPN / IPSEC	IKE Phase 2 PFS DH group mismatch	"IKE phase-2 negotiation from 172.16.12.82:500 to 172.16.12.81:500 failed. Tunnel='tunnel.1' Reason=Received PFS DH group 2, expecting 5"	The IPSec tunnel negotiation failed because the proposed Perfect Forward Secrecy Diffe-Hellman (PFS DH) group number did not match the Phase 2 configuration. The log message specifies the received and expected PFS DH group numbers.	"IKE phase-2 negotiation from %s to %s failed. Tunnel='%s' Reason=Received PFS DH group %d, expecting %d"	"IKE phase-2 negotiation from ${local_addr} to ${peer_addr} failed. Tunnel='${tunnel}' Reason=Received PFS DH group ${received}, expecting ${expected}"
2050007	ERROR	VPN / IPSEC	IKE Phase 2 ESP authentication method mismatch	"IKE phase-2 negotiation from 172.16.12.82:500 to 172.16.12.81:500 failed. Tunnel='tunnel.1' Reason=Received ESP authentication MD5-HMAC, expecting SHA1-HMAC"	The IPSec tunnel negotiation failed because the proposed ESP authentication method did not match the Phase 2 configuration. The log message specifies the received and expected ESP authentication method.	"IKE phase-2 negotiation from %s to %s failed. Tunnel='%s' Reason=Received ESP authentication %s, expecting %s"	"IKE phase-2 negotiation from ${local_addr} to ${peer_addr} failed. Tunnel='${tunnel}' Reason=Received ESP authentication ${received}, expecting ${expected}"
2050008	ERROR	VPN / IPSEC	IKE Phase 2 AES key length mismatch	"IKE phase-2 negotiation from 172.16.12.82:500 to 172.16.12.81:500 failed. Tunnel='tunnel.1' Reason=Received AES key length 128, expecting 256"	The IPSec tunnel negotiation failed because the proposed AES encryption key length did not match the Phase 2 configuration. The log message specifies the received and expected AES key length.	"IKE phase-2 negotiation from %s to %s failed. Tunnel='%s' Reason=Received AES key length %d, expecting %d"	"IKE phase-2 negotiation from ${local_addr} to ${peer_addr} failed. Tunnel='${tunnel}' Reason=Received AES key length ${received}, expecting ${expected}"
2050008	ERROR	VPN / IPSEC	IKE Phase 2 AES key length mismatch	"IKE phase-2 negotiation from 172.16.12.82:500 to 172.16.12.81:500 failed. Tunnel='tunnel.1' Reason=Received AES key length 128, expecting 256"	The IPSec tunnel negotiation failed because the proposed AES encryption key length did not match the Phase 2 configuration. The log message specifies the received and expected AES key length.	"IKE phase-2 negotiation from %s to %s failed. Tunnel='%s' Reason=Received AES key length %d, expecting %d"	"IKE phase-2 negotiation from ${local_addr} to ${peer_addr} failed. Tunnel='${tunnel}' Reason=Received AES key length ${received}, expecting ${expected}"
2050010	INFO	VPN / IPSEC	Received quick mode informational error message	Received 'No Proposal Chosen' message from 172.16.12.81:500 for 'tunnel.1' tunnel. Check VPN IKE diagnostic log messages on the remote gateway endpoint for more information.	Remote gateway sent an information error message in response to VPN tunnel proposal.	Received '%s' message from %s for '%s' tunnel. Check VPN IKE diagnostic log messages on the remote gateway endpoint for more information.	Received '${info_msg}' message from ${peer_addr} for '${tunnel}' tunnel. Check VPN IKE diagnostic log messages on the remote gateway endpoint for more information.
2050011	INFO	VPN / IPSEC	Dropped simultaneous Phase 2 negotiation	Dropped a simultaneous phase-2 negotiation from the peer 172.16.13.204:500	Firebox or XTM device dropped phase-2 negotiation because of another Phase 2 negotiation in progress.	Dropped a simultaneous phase-2 negotiation from the peer %s	Dropped a simultaneous IPSec negotiation from the peer ${peer_addr}
2060001	WARN	VPN / IPSEC	Received XAuth fail notification	Received XAuth failed notification from 172.16.24.1:4500. Group:'ToFirebox_mu'	Received notification that Extended Authentication(XAuth) failed. Aborting XAuth negotiation.	Received XAuth failed notification from %s. Group:'%s'	Received XAuth failed notification from ${peer_addr}. Group:'${gateway}'
2060002	WARN	VPN / IPSEC	"Rejected PSK authentication, Expect client XAUTH enabled."	"Rejected phase-1 authentication method PSK from 172.16.24.1:4500, expecting client XAUTH enabled."	Rejected proposed Phase 1 authentication method because Firebox or XTM Device expects client Extended Authentication(XAuth) enabled.	"Rejected phase-1 authentication method %s from %s, expecting client XAUTH enabled."	"Rejected phase 1 authentication method ${auth_method} from ${peer_addr}, expecting client XAUTH enabled."
2060003	WARN	VPN / IPSEC	"Rejected PSK authentication, Expect server XAUTH enabled."	"Rejected phase-1 authentication method PSK from 172.16.24.1:4500, expecting server XAUTH enabled."	Rejected proposed Phase 1 authentication method because Firebox or XTM Device expects server Extended Authentication(XAuth) enabled.	"Rejected phase-1 authentication method %s from %s, expecting server XAUTH enabled."	"Rejected phase 1 authentication method ${auth_method} from ${peer_addr}, expecting server XAUTH enabled."
2060004	WARN	VPN / IPSEC	XAuth negotiation failed due to mismatched mode	XAuth negotiation from 172.16.24.1:4500 failed due to a mismatched XAuthMode.	Mobile VPN with IPSec Extended Authentication(XAuth) negotiation failed because of mismatched authentication mode.	XAuth negotiation from %s failed due to a mismatched XAuthMode.	XAuth negotiation from ${peer_addr} failed due to a mismatched XAuthMode
2060005	WARN	VPN / IPSEC	Mobile VPN with IPSec authentication failed because of unresponsive peer	MUVPN user authentication failed due to unresponsive peer at 172.16.24.1:4500	Mobile VPN with IPSec user authentication failed because the peer did not respond.	MUVPN user authentication failed due to unresponsive peer at %s	MUVPN user authentication failed due to unresponsive peer at %s
2060006	INFO	VPN / IPSEC	Mobile VPN with IPSec user connected with no group	MUVPN user 'user.1' is authenticated without group information.	"Specified Mobile VPN with IPSec user successfully authenticated, but is not a member of any group."	MUVPN user '%s' is authenticated without group information.	MUVPN user '${user_name}' is authenticated without group information
2060007	INFO	VPN / IPSEC	Mobile user group information	MUVPN user 'user.1' is a member of 'muvpn' group.	Specified Mobile VPN with IPSec user belongs to the specified group.	MUVPN user '%s' is a member of '%s' group.	MUVPN user '${user_name}' is a member of '${group_name}' group.
2080001	INFO	VPN / IPSEC	IKE phase-1 negotiated successful	BOVPN phase-1 main-mode completed successfully as initiator for 'gateway.1' gateway endpoint. local-gw:172.16.12.81:500 remote-gw:172.16.13.204:500 SA ID:0x9d5e7809	IKE phase-1 negotiation was successfully completed.	%s phase-1 %s completed successfully as %s for '%s' gateway endpoint. local-gw:%s:%d remote-gw:%s:%d SA ID:0x%08x	${tunnel_type} phase-1 ${nego_mode} completed successfully as ${nego_role} for '${gateway}' gateway endpoint. local-gw:${src}:${sport} remote-gw:${dst}:${dport} SA ID:${p1said}
0203000A	ERROR	VPN / IPSEC	IKE Phase 1 invalid Main Mode second message	IKE phase-1 negotiation from 172.16.12.82:500 to 172.16.12.81:500 failed. Gateway-Endpoint='gateway.1' Reason=Received invalid main mode second message. Check VPN IKE diagnostic log messages for more information.	IKE Phase 1 negotiation failed because of invalid second message received by local gateway.	IKE phase-1 negotiation from %s to %s failed. Gateway-Endpoint='%s' Reason=Received invalid main mode second message. Check VPN IKE diagnostic log messages for more information.	IKE phase-1 negotiation from ${local_addr} to ${peer_addr} failed. Gateway-Endpoint='${gw-ep}' Reason=Received invalid main mode second message. Check VPN IKE diagnostic log messages for more information.
0203000B	ERROR	VPN / IPSEC	IKE Phase 1 invalid Main Mode Key Exchange payload	IKE phase-1 negotiation from 172.16.12.82:500 to 172.16.12.81:500 failed. Gateway-Endpoint='gateway.1' Reason=Received invalid main mode KE payload. Check VPN IKE diagnostic log messages for more information.	IKE Phase 1 negotiation failed because local gateway received invalid Main Mode Key Exchange (KE) payload	IKE phase-1 negotiation from %s to %s failed. Gateway-Endpoint='%s' Reason=Received invalid main mode KE payload. Check VPN IKE diagnostic log messages for more information.	IKE phase-1 negotiation from ${local_addr} to ${peer_addr} failed. Gateway-Endpoint='${gw-ep}' Reason=Received invalid main mode KE payload. Check VPN IKE diagnostic log messages for more information.
