ID	Level	Area	Name	Log Message Example	Description	Format	Message Variables
3000012E	ERROR	Firewall / Packet Filter	Possible loop or ARP spoofing detected	"Cannot relearn system MAC address, possible loop or MAC spoofing, ip=192.168.111.10, mac=00:50:da:c7:90:5d, interface=5"	"The appliance received an ARP packet sent from one of its own MAC addresses. It is possibly a network or cabling loop, or another device is faking this device's MAC address."	"Cannot relearn system MAC address, possible loop or MAC spoofing, ip=%hu.%hu.%hu.%hu, mac=%02x:%02x:%02x:%02x:%02x:%02x, interface=%u"	"Cannot relearn system MAC address, possible loop or another device is faking this device's MAC address, ip=${ip}, mac=${mac}, interface=${interface}"
30000004	INFO	Firewall / Packet Filter	Application Control feature expired	The Application Control feature has expired.	The feature key for your Application Control subscription has expired.	The Application Control feature has expired.	–
30000005	INFO	Firewall / Packet Filter	IPS feature expired	The IPS feature has expired.	The feature key for your Intrusion Prevention Services subscription has expired.	The IPS feature has expired.	–
30011001	INFO	Firewall / Packet Filter	Temporarily blocking host	Temporarily blocking host 198.13.111.226	The host is blocked temporarily.	Temporarily blocking host %s	Temporarily blocking host ${IP}
3000002F	INFO	Firewall / Packet Filter	Feature not supported by feature key	Feature key does not support the feature Policy based routing.	The device feature key does not support the specified feature.	Feature key does not support the feature %s.	No valid ${feature name} feature
300000C9	INFO	Firewall / Packet Filter	Load Balance Server(TCP Probe)	"TCP probe packets timeout, Load Balance Server 10.10.10.100 port 3030 is offline."	Load Balance Server status update due to response or lack of response to a TCP Probe packet. The log message specifies the server IP address and port.	"%s %s , Load Balance Server %hu.%hu.%hu.%hu port %d is %s."	"${probe method} ${reason}, Load Balance Server ${ip} port ${port} is ${status}"
300000CB	INFO	Firewall / Packet Filter	Load Balance Server(ICMP Probe)	"ICMP probe packets timeout, Load Balance Server 10.10.10.100 is offline."	Update to status of Load Balance Server due to success or failure of ICMP Probe packet. The log message specifies the server IP and status.	"%s %s , Load Balance Server %u.%u.%u.%u is %s."	"${probe method} ${reason}, Load Balance Server ${ip} is ${status}"
3000012C	ERROR	Firewall / Packet Filter	ARP spoofing attack	"ARP spoofing attack detected, ip=192.168.111.10, mac=00:50:da:c7:90:5d, interface=5"	"Detected an ARP spoofing attack. The log message specifies the source IP address, MAC address, and incoming interface of the ARP packet."	"ARP spoofing attack detected, ip=%u.%u.%u.%u, mac=%02x:%02x:%02x:%02x:%02x:%02x, interface=%u"	"ARP spoofing attack detected, ip=${ip}, mac=${mac}, interface=${interface}"
30000148	INFO	Firewall / Packet Filter	Normal traffic	Details of normal traffic either allowed or denied by the firewall policy specified in the log message.	Allow Firebox 0-External 52 tcp 20 127 10.0.1.2 206.190.60.138 62443 80 offset 8 S 832026162 win 8192 (HTTP-00)	%s %s %s %d %s %d %s %s %d %d offset %d %s %d %s %d(%s)	${disposition} ${inif} ${outif} ${ip_pkt_len} ${protocol} ${iph_len} ${TTL} {${src_ip}|${src_user}} {${dst_ip|${dst_user}} [${tcp_info}] [${udp_info}] [${icmp_info}] [${route_type}] ${policy_name}
30000149	INFO	Firewall / Packet Filter	Application Control Traffic identified	Application Control identified traffic for an application.	"Allow 1-Trusted 0-External 40 tcp 20 127 10.0.1.2 206.190.60.138 53008 80 offset 5 AF 3212213617 win 257 app_name=""World Wide Web HTTP"" cat_name=""Network Protocols"" app_beh_name=""connect"" app_id=""63"" app_cat_id=""18"" app_ctl_disp=""2"" msg=""Application identified"" (HTTP-00)"	"%s %s %s %d %s %d %s %s %d %d offset %d %s %d %s %d app_name=\""%s\"" cat_name=\""%s\"" app_beh_name=\""%s\"" appid=\""%d\"" app_cat_id=\""%d\"" app_ctl_disp=\""%d\"" msg=\""%s\"" (%s)"	${disposition} ${inif} ${outif} ${ip_pkt_len} ${protocol} ${iph_len} ${TTL} {${src_ip}|${src_user}} {${dst_ip|${dst_user}} [${tcp_info}] [${udp_info}] app_name=${app_name} cat_name=${cat_name} app_beh_name=${app_beh_name} appid=${appid} app_cat_id=${app_cat_id} app_ctl_disp=${app_ctl_disp} msg=${msg} [${route_type}] ${policy_name}
30000150	INFO	Firewall / Packet Filter	IPS Traffic detected	IPS detected traffic that matches an IPS signature.	"Deny 1-Trusted 0-External 1440 tcp 20 61 10.0.1.2 192.168.130.126 55810 80 offset 5 A 447868619 win 54 signature_name=""EXPLOIT Apple QuickTime FLIC Animation file buffer overflow -1-2"" signature_cat=""Misc"" signature_id=""1112464"" severity=""4"" msg=""IPS detected"" (HTTP-00)"	"%s %s %s %d %s %d %s %s %d %d offset %d %s %d %s %d signature_name=\""%s\"" signature_cat=\""%s\"" signature_id=\""%s\"" severity=\""%d\"" msg=\""%s\"" (%s)"	${disposition} ${inif} ${outif} ${ip_pkt_len} ${protocol} ${iph_len} ${TTL} {${src_ip}|${src_user}} {${dst_ip|${dst_user}} [${tcp_info}] [${udp_info}] signature_name=${signature_name} signature_cat=${signature_cat} signature_id=${signature_id} severity=${severity} msg=${msg} [${route_type}] ${policy_name}
30000151	INFO	Firewall / Packet Filter	Traffic connection terminated	Record for a terminated connection	"Allow 1-Trusted 0-External tcp 10.0.1.2 220.181.90.24 53018 80 app_id=""63"" app_cat_id=""18"" app_ctl_disp=""2"" duration=""80"" sent_bytes=""652"" rcvd_bytes=""423"" (HTTP-00)"	"%s %s %s %d %s %d %s %s %d %d offset %d %s %d %s %d appid=\""%d\"" app_cat_id=\""%d\"" app_ctl_disp=\""%d\"" duration=\""%d\"" sent_bytes=\""%d\"" rcvd_bytes=\""%d\"" (%s)"	${disposition} ${inif} ${outif} ${ip_pkt_len} ${protocol} ${iph_len} ${TTL} {${src_ip}|${src_user}} {${dst_ip|${dst_user}} [${tcp_info}] [${udp_info}] appid=${appid} app_cat_id=${app_cat_id} app_ctl_disp=${app_ctl_disp} duration=${duration} sent_bytes=${sent_bytes} rcvd_bytes=${rcvd_bytes} ${policy_name}
30000173	INFO	Firewall / Packet Filter	Hostile traffic	Details of hostile traffic denied by the firewall internal policy.	Deny 0-External Firebox 52 tcp 20 127 206.190.60.138 10.0.0.1 62443 80 offset 8 S 832026162 win 8192 blocked sites (Internal Policy)	%s %s %s %d %s %d %s %s %d %d offset %d %s %d %s %d(%s)	${inif} ${outif} ${ip_pkt_len} ${protocol} ${iph_len} ${TTL} {${src_ip}|${src_user}} {${dst_ip|${dst_user}} [${tcp_info}] [${udp_info}] [${icmp_info}]
